78
7,10,24,42,2,0
28,10,45,42,2,0
47,10,65,42,3,0
68,10,86,42,3,0
89,10,107,42,3,0
110,11,129,42,4,-1
132,11,151,42,4,-1
154,11,173,42,4,-1
177,11,196,42,4,-1
199,11,219,42,5,-1
222,11,242,42,5,-1
244,11,264,42,5,-1
268,11,288,42,5,-1
291,11,311,42,5,-1
314,11,334,42,5,-1
337,11,357,42,5,-1
360,11,379,42,5,-1
383,11,402,42,5,-1
406,11,425,42,5,-1
429,11,448,42,5,-1
454,10,472,42,4,0
477,10,495,42,4,0
501,10,519,42,4,0
524,10,542,42,4,0
546,10,564,42,4,0
567,10,585,42,4,0
589,10,606,42,3,0
613,10,630,42,3,0
634,10,651,42,3,0
655,10,670,42,2,0
676,10,691,42,2,0
697,10,711,42,1,0
717,10,731,42,1,0
736,11,750,42,1,-1
756,11,770,42,1,-1
777,11,791,42,1,-1
797,11,811,42,1,-1
817,11,831,42,1,-1
839,11,853,42,1,-1
861,11,875,42,1,-1
882,11,896,42,1,-1
902,11,915,42,0,-1
920,11,933,42,0,-1
940,11,953,42,0,-1
959,11,972,42,0,-1
979,11,992,42,0,-1
1001,11,1014,42,0,-1
1021,11,1034,42,0,-1
1042,11,1055,42,0,-1
1061,11,1075,42,1,-1
1082,11,1096,42,1,-1
1103,11,1116,42,0,-1
1121,11,1135,42,1,-1
1140,11,1153,42,0,-1
1159,11,1172,42,0,-1
1179,11,1192,42,0,-1
1199,11,1212,42,0,-1
1218,11,1232,42,1,-1
1258,11,1272,42,1,-1
1278,11,1292,42,1,-1
1297,11,1311,42,1,-1
1317,11,1331,42,1,-1
1336,11,1350,42,1,-1
1355,11,1369,42,1,-1
1374,11,1388,42,1,-1
1393,11,1407,42,1,-1
1411,11,1425,42,1,-1
1430,11,1444,42,1,-1
1450,11,1464,42,1,-1
1471,11,1485,42,1,-1
1490,11,1505,42,1,-1
1508,11,1523,42,1,-1
1528,11,1543,42,1,-1
1547,11,1562,42,1,-1
1567,11,1583,42,1,-1
1588,11,1603,42,1,-1
1606,10,1623,42,2,0
1626,10,1643,42,2,0
